sample_id,Depth,Distance_shore,TrueCommunity,Sp_1,Sp_2,Sp_3,Sp_4,Sp_7,Sp_9,Sp_10,Sp_11,Sp_12,Sp_26,Sp_25,Sp_27,Sp_28,Sp_6,Sp_14,Sp_15,Sp_16,Sp_29,Sp_31,Sp_32,Sp_13,Sp_30,Sp_8,Sp_5,Sp_17,Sp_19,Sp_20,Sp_18,Sp_21,Sp_22,Sp_23,Sp_24
STN_001,83.6,137,1,2054,1794,780,717,1087,454,1345,1699,214,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_002,63.7,137,1,620,3256,1492,0,0,1359,2375,0,0,647,350,1752,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_003,66.8,148,1,192,3306,0,0,0,906,1098,96,1058,124,860,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_004,73.2,161,1,621,877,401,1305,0,590,0,348,407,0,258,0,3436,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_005,67,144,1,4066,57,0,0,492,0,331,0,822,431,229,2177,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_006,35.9,151,2,0,0,1927,1067,0,0,0,0,0,0,0,0,0,0,5610,37,524,387,600,896,0,0,0,0,0,0,0,0,0,0,0,0
STN_007,29.8,150,2,0,0,2356,700,0,0,0,0,0,0,0,0,0,1064,45,1181,518,921,2233,159,297,2693,0,0,0,0,0,0,0,0,0,0
STN_008,34.6,138,2,0,0,1899,1180,0,0,0,0,0,0,0,0,0,184,382,1013,1405,68,830,1140,586,728,99,0,0,0,0,0,0,0,0,0
STN_009,46.1,145,2,0,0,4909,1479,0,0,0,0,0,0,0,0,0,0,1616,1492,78,1179,1293,0,0,147,0,0,0,0,0,0,0,0,0,0
STN_010,40,151,2,0,0,1501,1191,0,0,0,0,0,0,0,0,0,0,1119,102,649,0,2019,349,932,0,609,0,0,0,0,0,0,0,0,0
STN_011,68.6,88,3,1355,200,0,379,0,0,0,0,0,0,0,541,290,1062,0,0,0,0,0,0,0,0,1575,1880,43,357,1348,0,0,0,0,0
STN_012,66.2,110,3,0,461,108,0,78,0,0,0,0,1823,0,859,0,2299,0,0,0,0,0,0,0,0,757,26,636,2718,695,785,0,0,0,0
STN_013,58.4,96.4,3,0,0,165,761,0,0,0,0,0,86,1290,0,0,4378,0,0,0,0,0,0,0,0,0,347,435,0,313,207,0,0,0,0
STN_014,63.4,99.3,3,0,0,0,0,0,0,0,0,0,948,726,41,203,425,0,0,0,0,0,0,0,0,581,300,2147,2951,1059,1018,0,0,0,0
STN_015,77.1,93.8,3,0,0,0,0,0,0,0,0,0,0,627,0,0,1084,0,0,0,0,0,0,0,0,0,4320,0,6361,168,0,0,0,0,0
STN_016,39.5,102,4,0,1019,0,0,704,0,0,0,0,0,0,0,0,1599,0,0,0,2454,77,738,0,0,2870,0,0,0,0,0,1564,287,75,0
STN_017,42.7,95.4,4,0,0,890,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,1741,0,0,0,0,0,0,5664,0,0
STN_018,50.8,99.8,4,0,1081,1076,0,316,0,0,0,0,0,0,0,0,680,0,0,0,657,895,1127,0,566,652,0,0,0,0,0,37,62,2895,237
STN_019,43.2,118,4,544,0,925,0,354,0,0,0,0,0,0,0,0,0,0,0,0,667,2418,1833,0,0,1883,0,0,0,0,0,999,1696,1407,2868
STN_020,39.7,94.1,4,0,0,0,1478,114,0,0,0,0,0,0,0,0,64,0,0,0,242,371,2040,0,1615,1494,0,0,0,0,0,216,592,121,517
