replicate_id,station_id,Depth,Distance_shore,TrueCommunity,Sp_1,Sp_2,Sp_10,Sp_12,Sp_13,Sp_27,Sp_28,Sp_4,Sp_9,Sp_11,Sp_26,Sp_29,Sp_5,Sp_3,Sp_16,Sp_17,Sp_30,Sp_32,Sp_33,Sp_14,Sp_31,Sp_15,Sp_7,Sp_6,Sp_8,Sp_18,Sp_19,Sp_20,Sp_21,Sp_23,Sp_24,Sp_25,Sp_22
STN_001_B1,STN_001,74.29,190.19,1,561,1675,3054,2065,707,141,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_001_B2,STN_001,74.29,190.19,1,628,210,3523,2393,961,77,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_001_B3,STN_001,74.29,190.19,1,230,1230,3597,2020,1336,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_002_B1,STN_002,81.64,203.72,1,845,0,1131,0,61,199,383,31,429,733,1429,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_002_B2,STN_002,81.64,203.72,1,1173,0,605,0,430,165,476,372,0,1159,2932,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_002_B3,STN_002,81.64,203.72,1,1158,384,640,0,309,474,394,128,0,1559,2766,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_003_B1,STN_003,86.52,207.09,1,1736,382,792,476,312,2035,535,32,0,177,1020,44,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_003_B2,STN_003,86.52,207.09,1,989,165,720,675,2018,1410,1154,2371,0,390,77,832,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_003_B3,STN_003,86.52,207.09,1,2053,624,67,233,1533,1953,236,449,0,244,127,443,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_004_B1,STN_004,83.58,201.13,1,3792,871,3134,187,1695,168,1004,0,1083,1417,926,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
